,Unnamed: 0,C_LAT,C_LONG,TYPE,LINK,NOMBRE,GARMINCODE,GIROTIPO,TELEFONO,NOMBRE_VIA,CUADRA,URBANIZACI,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMEN,PAIS,LONGITUDE_x,LATITUDE_x,TOT,orig_ogc_fid,LATITUDE_y,LONGITUDE_y,utm_e,utm_n,population,count_intersections,street_length_avg,street_length_total,streets_per_node_avg,betweenness_centrality_avg,closeness_centrality_avg,clustering_coefficient_avg,street_length_total_ext,primary_length_total_ext,highway_length_total_ext,road_length_total_ext,street_oneway_length_total_ext,fraction_oneway_ext,count_roads_ext,road_lenght_avg_ext,cf,POI_Count,N_BFA,N_OtherServices,N_Retail,N_Est_Mfg,N_Est_RW,N_Est_Services,N_Est_BFA,N_Emp_Mfg,N_Emp_RW,N_Emp_Services,N_Emp_BFA,N_Emp_Tot,fis_score
0,0,-12.081203,-76.925824,Colegio,776,Colegio Newton,0x2c05,colegio,479-0460 / 479-0430,AV RICARDO ELIAS APARICIO,2.0,UB LAS LAGUNAS,RICARDO ELIAS APARICIO 240,LA MOLINA,LIMA,LIMA,PERU,-76.925824,-12.081203,"-76.9258, -12.0812",520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,-12.070522,-76.911125,Colegio,777,Colegio Villa Maria,0x2c05,colegio,479-2628 / 479-2115 / 368-1634,CA  LA LAGUNA,2.0,UB CLUB CAMPESTRE LA LAGUNA,LA LAGUNA 280,LA MOLINA,LIMA,LIMA,PERU,-76.911125,-12.070522,"-76.9111, -12.0705",522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,-12.079346000000001,-76.925444,Colegio,778,Colegio Reina de los Angeles,0x2c05,colegio,368-1429 / 368-1433,MALECON MONTEBELLO,6.0,UB RINCONADA ALTA,MALECON MONTEBELLO 605,LA MOLINA,LIMA,LIMA,PERU,-76.925444,-12.079346000000001,"-76.9254, -12.0793",523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,-12.075907,-76.961789,Colegio,779,Recoleta,0x2c05,colegio,702-2500 / 435-2991,CIRCUNVALACION DEL GOLF,3.0,,CIRCUNVALACION DEL GOLF 368,LA MOLINA,LIMA,LIMA,PERU,-76.961789,-12.075907,"-76.9618, -12.0759",524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,-12.068375999999999,-76.96834399999999,Colegio,780,Colegio Lincoln,0x2c05,colegio,617-4500 / 617-4510,AV JOSE ANTONIO,4.0,,JOSE ANTONIO 475 URB. PARQUE DE MONTERRICO,LA MOLINA,LIMA,LIMA,PERU,-76.96834399999999,-12.068375999999999,"-76.9683, -12.0684",528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,-12.076315,-76.971653,Colegio,781,Colegio Roosevelt,0x2c05,colegio,702-4506,AV PALMERAS,3.0,UB CAMACHO,LAS PALMERAS 325 URB. CAMACHO,LA MOLINA,LIMA,LIMA,PERU,-76.971653,-12.076315,"-76.9717, -12.0763",529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,-12.055311999999999,-77.041668,Colegio,782,Colegio Nuestra Se�ora de Guadalupe,0x2c05,colegio,798-1685,AV ALFONSO UGARTE,12.0,,ALFONSO UGARTE CDRA. 12,LIMA,LIMA,LIMA,PERU,-77.041668,-12.055311999999999,"-77.0417, -12.0553",540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,-12.026728,-77.07488000000001,Colegio,783,Jose Granda (CE),0x2c05,colegio,568-0230,AV JOSE GRANDA,29.0,AH HUSARES DE JUNIN,UNIVERSITARIA 283 OVALO JOSE GRANDA,SAN MARTIN DE PORRES,LIMA,LIMA,PERU,-77.07488000000001,-12.026728,"-77.0749, -12.0267",543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,-12.127502999999999,-77.00927800000001,Colegio,784,Colegio Juana Alarco de Dammert,0x2c05,colegio,271-1746,AV BENAVIDES,22.0,UB HUMBOLDT,BENAVIDES 2315 URB. SAN ANTONIO,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.00927800000001,-12.127502999999999,"-77.0093, -12.1275",605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,-11.874682,-77.125063,Colegio,785,Ugel Ventanilla,0x2c05,colegio,539-8511 / 488-1013,CA EUCALIPTOS,3.0,UB CIUDAD SATELITE,LOS EUCALIPTOS CDRA. 3 S/N URB. VENTANILLA SATELITE,VENTANILLA,CALLAO,CALLAO,PERU,-77.125063,-11.874682,"-77.1251, -11.8747",706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
