NOMBRE,GARMINCODE,GIROTIPO,TELEFONO,NOMBRE_VIA,CUADRA,URBANIZACI,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMEN,PAIS,LONGITUDE,LATITUDE,TOT,orig_ogc_fid
Clinica Angloamericana,0x3002,hospital,616-8900,AV ALFREDO SALAZAR,3,,ALFREDO SALAZAR 350,SAN ISIDRO (LIMA),LIMA,LIMA,PERU,-77.039276,-12.109353,"-77.0393, -12.1094",0
Centro Medico Baltazar Caravedo,0x3002,hospital,467-3933 / 252-3581,CA INDEPENDENCIA,2,,INDEPENDENCIA 242,CHORRILLOS,LIMA,LIMA,PERU,-77.020797,-12.155444,"-77.0208, -12.1554",1
Clinica Maison de Sante,0x3002,hospital,619-6007,AV BENAVIDES,53,UB LAS GARDENIAS 3 ETAPA,BENAVIDES 5362,SURCO,LIMA,LIMA,PERU,-76.981031,-12.130243,"-76.981, -12.1302",2
Clinica de Otorrino,0x3002,hospital,472-0803,CA BAZZOCHI,3,UB SANTA CATALINA,JOSE BAZZOCHI 339,LA VICTORIA (LIMA),LIMA,LIMA,PERU,-77.0232,-12.082548,"-77.0232, -12.0825",3
Emergencias Pediatricas,0x3002,hospital,215-8838 / 474-9790 / 4749820 / 474-3200,AV MIGUEL GRAU,8,RES MIGUEL GRAU,GRAU 800,LA VICTORIA (LIMA),LIMA,LIMA,PERU,-77.023686,-12.058534,"-77.0237, -12.0585",4
Clinica Hogar de la Madre,0x3002,hospital,440-2800 / 221-0758,JR GERVASIO SANTILLANA,2,UB BARBONCITO,GERVASIO SANTILLANA 260,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.029795,-12.104374,"-77.0298, -12.1044",5
Hogar de ni�os Santa Maria,0x3002,hospital,466-1194,AV PEDRO MIOTA,,,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.976257,-12.173525,"-76.9763, -12.1735",6
Hogar de ni�os Padre Iluminato,0x3002,hospital,276-1463 / 277-0183,AV PROLONGACION PEDRO MIOTA,1,,AV PROLONGACION PEDRO MIOTTA 180 ZONA B,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.976408,-12.172843,"-76.9764, -12.1728",7
Independencia,0x3002,hospital,315-5858,CA INDEPENDENCIA,10,,INDEPENDENCIA 1055,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.032367,-12.108927,"-77.0324, -12.1089",8
Emergencia Clinica Internacional,0x3002,hospital,619-6161,JR WASHINGTON,14,,WASHINGTON 1471,LIMA,LIMA,LIMA,PERU,-77.039072,-12.059136,"-77.0391, -12.0591",9
Clinica Javier Prado,0x3002,hospital,211-4141 / 422-3856,AV JAVIER PRADO ESTE,4,,JAVIER PRADO ESTE 499,LINCE,LIMA,LIMA,PERU,-77.028379,-12.091407,"-77.0284, -12.0914",10
Clinica Limatambo,0x3002,hospital,01-617-1111,AV REPUBLICA DE PANAMA,36,,REPUBLICA DE PANAMA 3606,SAN ISIDRO (LIMA),LIMA,LIMA,PERU,-77.01941,-12.100629,"-77.0194, -12.1006",11
Concebir,0x3002,hospital,221 4249,CA LOS OLIVOS,3,UB EL ROSARIO,LOS OLIVOS 364,SAN ISIDRO (LIMA),LIMA,LIMA,PERU,-77.035294,-12.093352,"-77.0353, -12.0934",12
Maison de Sante,0x3002,hospital,619-6000,JR MIGUEL ALJOVIN,2,,MANUEL ALJOVIN 208 - 222,LIMA,LIMA,LIMA,PERU,-77.034,-12.057261,"-77.034, -12.0573",13
Clinica Montefiori,0x3002,hospital,437-5151,AV SEPARADORA INDUSTRIAL,18,UB CACTUS,SEPARADORA INDUSTRIAL 380 URB. LOS CACTUS,LA MOLINA,LIMA,LIMA,PERU,-76.966531,-12.06564,"-76.9665, -12.0656",22
Clinica Montesur,0x3002,hospital,317-4000 / 627-0800,AV EL POLO,5,UB EL DERBY,EL POLO 505,SURCO,LIMA,LIMA,PERU,-76.97263,-12.103356,"-76.9726, -12.1034",23
Clinica Morillas,0x3002,hospital,435-1137,AV EL POLO,5,UB EL DERBY,EL POLO 545,SURCO,LIMA,LIMA,PERU,-76.972531,-12.10316,"-76.9725, -12.1032",24
Asistencia Social,0x3002,hospital,,JR MADERA,2,,ALAMEDA DE LOS DESCALZOS,RIMAC,LIMA,LIMA,PERU,-77.026314,-12.038127,"-77.0263, -12.0381",25
Cruz Roja Peruana,0x3002,hospital,265-8783 / 265-2133 / 266-1252,AV ARNALDO MARQUEZ,12,,ARNALDO MARQUEZ 1266,JESUS MARIA,LIMA,LIMA,PERU,-77.049045,-12.073,"-77.049, -12.073",26
