LATITUDE,LONGITUDE,utm_e,utm_n,population,count_intersections,street_length_avg,street_length_total,streets_per_node_avg,betweenness_centrality_avg,closeness_centrality_avg,clustering_coefficient_avg,street_length_total_ext,primary_length_total_ext,highway_length_total_ext,road_length_total_ext,street_oneway_length_total_ext,fraction_oneway_ext,count_roads_ext,road_lenght_avg_ext,cf,POI_Count,N_BFA,N_OtherServices,N_Retail,N_Est_Mfg,N_Est_RW,N_Est_Services,N_Est_BFA,N_Emp_Mfg,N_Emp_RW,N_Emp_Services,N_Emp_BFA,N_Emp_Tot,fis_score
-12.109353,-77.039276,278050.5516,8660520.221,17153,133,80.75400206,16877.58643,3.466165414,0.065975139,0.001234702,0.069674185,15560.80405,1317.926049,0,16878.7301,13574.5411,0.872354735,209,80.75947414,2.101094645,116,58,37,21,316,561,2224,115,94594,59471,538304,33567,790730,0.578654276
-12.155444,-77.020797,280102.5327,8655445.656,9509,137,70.9254074,14823.41015,2.819875776,0.058853373,0.00109724,0.027950311,14083.1219,951.7023443,0,15034.82425,2590.145426,0.183918413,215,69.9294151,3.743949712,8,3,4,1,223,320,941,25,94914,43080,164844,7361,329305,0.239415191
-12.130243,-76.981031,284414.7648,8658265.652,5875,146,91.3655192,19734.95215,3.280821918,0.05759034,0.001112706,0.01826484,15938.63711,1930.61029,1865.704748,19734.95215,7043.246883,0.441897688,216,91.3655192,2.166321136,76,37,21,18,162,268,774,16,81488,38734,114211,5091,253988,0.212980159
-12.082548,-77.0232,279781.4521,8663509.537,20804,145,89.76246951,20017.0307,3.351351351,0.067689405,0.001013579,0.025900901,17881.22164,0,2135.809059,20017.0307,14908.21395,0.833735762,223,89.76246951,2.672703578,81,42,12,27,285,484,1761,52,88069,59693,411274,25137,646166,0.631702811
-12.058534,-77.023686,279707.3868,8666164.542,27214,89,100.5073956,14071.03538,3.522222222,0.081955794,0.001125683,0.024074074,12296.54128,1774.494099,0,14071.03538,11191.61315,0.910143178,140,100.5073956,2.671898119,127,16,36,75,389,471,1207,24,88391,32758,334171,2266,467990,0.735689495
-12.104374,-77.029795,279080.7805,8661081.143,18539,140,89.43524832,19318.01364,3.253424658,0.054230961,0.001012833,0.051369863,14669.32862,1802.188979,2846.496041,19318.01364,11502.98498,0.784152109,216,89.43524832,2.670634493,45,15,21,9,351,646,2402,119,102661,70899,601019,34493,882992,0.5
-12.173525,-76.976257,284961.2344,8653478.671,16979,86,82.38879162,9804.266203,3.065934066,0.084749832,0.001489335,0.025641026,9611.569082,0,192.6971205,9804.266203,2585.655339,0.269014905,119,82.38879162,2.091040602,6,0,3,3,15,23,53,0,4954,1791,6980,0,14556,0.583706966
-12.172843,-76.976408,284949.786,8653556.039,16979,86,82.38879162,9804.266203,3.065934066,0.084749832,0.001489335,0.025641026,9611.569082,0,192.6971205,9804.266203,2585.655339,0.269014905,119,82.38879162,2.091040602,6,0,3,3,15,23,53,0,4954,1791,6980,0,14556,0.583706966
-12.108927,-77.032367,278801.3986,8660581.145,17153,133,80.75400206,16877.58643,3.466165414,0.065975139,0.001234702,0.069674185,15560.80405,1317.926049,0,16878.7301,13574.5411,0.872354735,209,80.75947414,2.101094645,116,58,37,21,316,561,2224,115,94594,59471,538304,33567,790730,0.578654276
-12.059136,-77.039072,278030.8446,8666085.73,32536,144,83.55441153,18883.29701,3.401360544,0.068559025,0.000962859,0.066893424,16518.91218,1253.543184,865.5560502,18638.01142,15742.4873,0.95299782,226,82.46907707,2.874272045,120,37,44,39,233,302,760,15,52803,23672,192903,1495,276944,0.77382896
-12.091407,-77.028379,279222.5354,8662520.627,16029,168,81.96414475,21064.7852,3.384615385,0.0429534,0.000973704,0.027613412,15510.20348,3234.501439,2320.080281,21064.7852,13070.26814,0.842688373,257,81.96414475,2.461127209,184,72,84,28,181,319,1300,38,63978,44173,338858,21325,527891,0.5
-12.100629,-77.01941,280210.0183,8661509.976,18667,156,74.83437273,17660.91196,3.275641026,0.057160581,0.001231015,0.083974359,15005.35094,2480.35937,0,17485.71031,9629.548234,0.641740955,237,73.77936839,2.028343701,88,19,48,21,216,404,1478,42,72045,55601,401573,22251,620153,0.517014731
-12.093352,-77.035294,278472.8753,8662293.758,34690,156,82.00183355,19598.43822,3.435897436,0.050029809,0.001006793,0.041880342,17720.06459,1878.37363,0,19598.43822,14638.28337,0.826085215,239,82.00183355,2.572509035,115,61,40,14,181,319,1300,38,63978,44173,338858,21325,527891,0.5
-12.057261,-77.034,278584.7494,8666289.012,32536,144,83.55441153,18883.29701,3.401360544,0.068559025,0.000962859,0.066893424,16518.91218,1253.543184,865.5560502,18638.01142,15742.4873,0.95299782,226,82.46907707,2.874272045,120,37,44,39,233,302,760,15,52803,23672,192903,1495,276944,0.77382896
-12.06564,-76.966531,285941.8869,8665424.34,14212,99,96.77381398,13741.88158,3.272727273,0.07278444,0.001190718,0.018518519,13741.88158,0,0,13741.88158,5323.203243,0.387370769,142,96.77381398,1.791250291,35,13,10,12,254,168,471,14,56159,26171,109838,2040,200643,0.5
-12.103356,-76.97263,285307.8028,8661237.414,14303,105,89.57231524,13794.13655,3.036036036,0.077988414,0.001133754,0.057057057,13794.13655,0,0,13794.13655,5537.92461,0.401469464,154,89.57231524,2.133329042,54,21,16,17,192,350,1002,31,88978,42332,184973,6648,342493,0.5
-12.10316,-76.972531,285318.5307,8661259.62,14303,105,89.57231524,13794.13655,3.036036036,0.077988414,0.001133754,0.057057057,13794.13655,0,0,13794.13655,5537.92461,0.401469464,154,89.57231524,2.133329042,54,21,16,17,192,350,1002,31,88978,42332,184973,6648,342493,0.5
-12.038127,-77.026314,279407.5827,8668419.548,25082,104,94.1606941,14689.06828,3.165137615,0.074266198,0.000956242,0.059021407,12693.37587,895.9777472,1099.714666,14689.06828,8608.208071,0.67816538,156,94.1606941,3.180893846,52,29,4,19,156,169,447,9,35588,9086,141268,771,191046,0.689020464
-12.073,-77.049045,276964.2467,8664539.745,24466,129,82.4161067,17719.46294,3.697674419,0.056239223,0.001312896,0.082650425,17719.46294,0,0,17719.46294,16441.86371,0.927898535,215,82.4161067,1.985113854,112,40,33,39,27,32,148,8,6876,934,20781,3088,32377,0.512947572
-12.082957,-77.032727,278747.4222,8663446.549,24274,133,86.63044103,19405.21879,3.766917293,0.060075153,0.001182982,0.035338346,19408.40729,0,0,19408.40729,19377.58367,0.998411842,224,86.64467539,2.051884051,254,142,57,55,208,351,1448,46,70854,45107,359639,24413,560268,0.564338846
-12.1103,-77.04008,277964.1931,8660419.992,17153,133,80.75400206,16877.58643,3.466165414,0.065975139,0.001234702,0.069674185,15560.80405,1317.926049,0,16878.7301,13574.5411,0.872354735,209,80.75947414,2.101094645,116,58,37,21,316,561,2224,115,94594,59471,538304,33567,790730,0.578654276
-11.983645,-77.062899,275376.3681,8674419.97,9120,148,84.49804378,18251.57746,3.064935065,0.043880311,0.001064755,0.006493506,16338.98732,272.2886021,1640.301529,18251.57746,5215.620786,0.319213222,216,84.49804378,2.466733803,80,36,13,31,45,35,99,3,7997,696,15629,245,25071,0.18280851
-12.075441,-77.022943,279808.3122,8664295.337,25241,181,78.79319833,22613.64792,3.331550802,0.052822445,0.001001711,0.061675579,19266.81396,1750.127897,1579.245627,22596.18748,14512.05371,0.753215023,287,78.73236057,2.485007853,83,30,35,18,260,334,908,23,59679,24606,213684,4583,309321,0.5
-12.087944,-77.054682,276355.9302,8662886.498,24411,126,82.79609205,16310.83013,3.274074074,0.065171636,0.000981827,0.068888889,16144.98389,165.8462397,0,16310.83013,13192.87566,0.817150129,197,82.79609205,2.522919964,42,14,13,15,385,677,2753,81,139441,89491,735515,45506,1130217,0.628159837
-12.09054,-77.018503,280299.7581,8662628.183,15747,153,79.19772575,18294.67465,3.232258065,0.046519136,0.000986052,0.059139785,14360.36714,2178.5467,1755.760812,18294.67465,9137.384041,0.636291813,231,79.19772575,2.518487701,63,16,35,12,181,319,1300,38,63978,44173,338858,21325,527891,0.5
-12.091949,-77.008601,281378.8514,8662481.223,17684,124,92.72309356,16504.71065,3.185483871,0.065801099,0.001228427,0.052419355,16504.71065,0,0,16504.71065,7418.925369,0.44950351,178,92.72309356,1.933439782,50,19,20,11,211,401,1528,53,71468,47771,409620,22882,616396,0.598757422
-12.047523,-77.02192,279894.4309,8667383.048,24392,56,120.6194045,10373.26878,3.209677419,0.077494271,0.001032198,0.037634409,10252.06421,0,0,10252.06421,6715.220861,0.655011588,86,119.210049,2.718779694,13,1,3,9,156,169,447,9,35588,9086,141268,771,191046,0.69719767
-12.086191,-77.054357,276387.1838,8663074.839,24411,126,82.79609205,16310.83013,3.274074074,0.065171636,0.000981827,0.068888889,16144.98389,165.8462397,0,16310.83013,13192.87566,0.817150129,197,82.79609205,2.522919964,42,14,13,15,385,677,2753,81,139441,89491,735515,45506,1130217,0.628159837
-12.081162,-77.057883,276001.9116,8663625.195,24411,126,82.79609205,16310.83013,3.274074074,0.065171636,0.000981827,0.068888889,16144.98389,165.8462397,0,16310.83013,13192.87566,0.817150129,197,82.79609205,2.522919964,42,14,13,15,385,677,2753,81,139441,89491,735515,45506,1130217,0.628159837
-12.098885,-77.05143,276724.3937,8661672.113,25801,140,81.36938369,17819.89503,3.392857143,0.057861537,0.00121551,0.08547619,17819.89503,0,0,17819.89503,13535.53837,0.759574529,219,81.36938369,1.876647805,42,17,15,10,329,580,2343,118,103264,60165,577151,35988,841745,0.531578525
-12.057644,-77.096642,271767.7975,8666204.464,26421,179,83.29127256,22488.64359,3.190217391,0.061269317,0.001127704,0.04076087,18229.0206,4259.622991,0,22488.64359,4641.077683,0.254598302,270,83.29127256,2.516570823,81,43,22,16,127,42,440,7,23165,5695,80636,576,115975,0.598887916
-12.064814,-76.989791,283404.0531,8665494.534,19132,89,106.1743485,13908.83965,3.359550562,0.077721226,0.000801917,0.017977528,11408.44523,2500.394421,0,13908.83965,6362.805467,0.55772766,131,106.1743485,2.448646686,22,0,17,5,314,270,666,15,67389,35539,113718,1671,225470,0.645868215
-12.092417,-77.008853,281346.5929,8662425.663,17684,124,92.72309356,16504.71065,3.185483871,0.065801099,0.001228427,0.052419355,16504.71065,0,0,16504.71065,7418.925369,0.44950351,178,92.72309356,1.933439782,50,19,20,11,211,401,1528,53,71468,47771,409620,22882,616396,0.598757422
